Comedian,Artist Popularity,First Album Popularity,Second Album Popularity,First Album Release Date,Second Album Release Date,Artist URL,slumpiness
Nate Bargatze,49,52.0,55.0,2012-09-18,2015-05-01,https://open.spotify.com/artist/7ySGZcqhTpH02Is5MZ0cfU,0.9454545454545454
Hannibal Buress,40,41.0,43.0,2010-07-27,2012-03-29,https://open.spotify.com/artist/4GIqbOr0FgE9qmJ31kVYdD,0.9534883720930233
Steve Martin,42,14.0,35.0,1981,2009-01-01,https://open.spotify.com/artist/1Bd4UVlqlaKEXYRG3wgrCK,0.4
Dry Bar Comedy,38,29.0,40.0,2018-08-01,2018-08-02,https://open.spotify.com/artist/1KrWXCPbbYS7LAjrXel6c7,0.725
Jeff Dunham,35,30.0,36.0,2019-04-12,2019-04-12,https://open.spotify.com/artist/6LQTcsnz73GAgqVfdSx09o,0.8333333333333334
Bob Saget,37,44.0,45.0,2013-07-02,2017-11-14,https://open.spotify.com/artist/40hB7iPLAeXsPpQvCgvte0,0.9777777777777777
